Template,Reason,Postponement,Peepl
"Так получилось, что наша команда (SENDER) заболела полным составом. Подскажите, пожалуйста, у нас будет возможность сдать доклад на следующей неделе (DATE)?",health,deadline,sg
"Я обращаюсь к Вам с просьбой о переносе дедлайна домашнего задания. Сегодня у меня назначен поход к стоматологу, который я не могу отложить. Из-за этого я не смогу выполнить задание вовремя.
Хотелось бы попросить Вас перенести дедлайн на 8 декабря, чтобы у меня было достаточно времени для выполнения задания после похода к стоматологу. Я очень ценю Ваше понимание и готовность помочь. Буду благодарен за возможность перенести дедлайн.

",health,deadline,sg
"Обращаюсь к Вам с просьбой о переносе дедлайна по заданию. Сегодня у меня высокая температура, из-за этого я не смогу выполнить задание вовремя.
Хотелось бы попросить Вас перенести дедлайн на 8 декабря, чтобы у меня было достаточно времени для выполнения задания после выздоровления. Я очень надеюсь на Ваше понимание.",health,deadline,sg
"Хочу обратиться к Вам с просьбой перенести дедлайн домашнего задания. К сожалению, я получил серьезный перелом спины и сейчас нахожусь в больнице. Из-за этого я не смогу выполнить задание вовремя. Буду благодарен за возможность перенести срок сдачи задания.",health,deadline,sg
"Я обращаюсь к Вам с просьбой сдать домашнее задание  по Вашему предмету на день позже. В данный момент у меня накопилось много других заданий, и я не смогу выполнить работу вовремя.
Хотелось бы попросить Вас перенести дедлайн, чтобы у меня было достаточно времени для качественного выполнения Вашего задания.
",workload,deadline,sg
"Возможно ли сдать Вам домашнее задание немного позже установленного срока сдачи? Дело в том, что у меня в один день установлено несколько дедлайнов, и я не успеваю качественно выполнить Ваше задание. Я очень ценю Ваше понимание и готовность помочь. Буду благодарен за возможность перенести дедлайн.",workload,deadline,sg
"Есть ли возможность перенести  дедлайна последней домашней работы? Понимаю, что на выполнение этой работы было достаточно времени, но дело в том, что из-за большого количенства дедлайнов по другим предметам, я не успеваю вовремя сдать работу по Вашему предмету. Буду очень благодарна за понимание!",workload,deadline,sg
"Хотел бы обратиться к Вам с следующей просьбой. Дело в том, что на данный момент я столкнулся с большим количеством других учебных задач, которые требуют моего внимания и времени. Это создает для меня некоторые сложности, и я опасаюсь не успеть выполнить домашнее задание к установленному сроку.
Поэтому я хотел бы попросить Вас о возможности переноса дедлайна на более позднюю дату.  Я был бы Вам очень благодарен!",workload,deadline,sg
"Есть ли у Вас возможность перенести работу по CLASS на DATE? К сожалению, друг на друга накладывается сразу несколько работ и мы думаем, что день-два помогут качественно и осмысленно сделать работы по Вашему блоку. Искренне надеемся на Ваше понимание!",workload,deadline,pl
"Мы бы хотели хотели обратиться к Вам с просьбой о переносе дедлайна последней домашней работы. Мы понимаем, что на выполнение данной работы у нас был целый месяц, однако, к сожалению, из-за сессии и обилия других дедлайнов мы не успеваем качественно доделать домашнюю работу в срок. Не могли бы вы, пожалуйста, продлить дедлайн выполнения до DATE? Мы были бы Вам безмерно благодарны!",workload,deadline,pl
"Мы понимаем одиозность, абсурдность, неудобоваримость нашей просьбы, но...
Мы бы хотели попросить вас перенести дедлайн по заданию по CLASS на один день. Мы понимаем, что у нас и так было много времени на выполнение этого задания (действительно очень много!), однако в силу большой загруженности из-за курсовых работ и огромного количества дедлайнов (их невообразимо почему-то много нынче стало) мы не смогли уделить ему достаточно времени, а мы бы очень хотели сделать подробный качественный хороший анализ.
Мы поймем, если Вы откажете, но всегда надеемся на лучший исход!",workload,deadline,pl
"Есть ли возможность продлить дедлайн квиза на два дня? То есть дедлайн отправки DATE? Многим это очень бы помогло с другими дедлайнами, поставленными на пятницу и субботу.",workload,deadline,pl
"Я обращаюсь к Вам с просьбой о переносе срока выполнения моей домашней работы. Хотел бы пояснить причины своей просьбы. Дело в том, что данное задание оказалось для меня сложнее, чем я ожидал. Мне потребовалось больше времени на его выполнение, чем изначально планировалось. В связи с этим, я прошу вас предоставить мне дополнительное время для завершения работы. Буду благодарен за понимание.",difficulty_problem,deadline,sg
"Есть ли возможность продлить дедлайн по домашнему заданию? Я понимаю, что своевременность выполнения заданий является важным аспектом учебного процесса. Однако, из-за сложности данного задания мне необходимо дополнительное время для успешного выполнения работы.",difficulty_problem,deadline,sg
"Прошу вас предоставить мне дополнительное время для выполнения данной работы, так как во время выполнения домашнего задания я столкнулся с сложностями. Перенос срока сдачи позволит мне уделить достаточно времени и внимания для успешного завершения задания и не вызовет дополнительных проблем в учебном процессе.
Заранее благодарю вас за понимание и Ваше время.",difficulty_problem,deadline,sg
"Мне потребовалось больше времени, чем я изначально рассчитывал, для изучения материала и выполнения задания. В связи с этим я прошу Вас предоставить мне дополнительное время, чтобы я мог успешно справиться с поставленной задачей.",difficulty_problem,deadline,sg
"Мы бы хотели попросить Вас перенести дедлайн по ДЗ по CLASS на несколько дней, например на DATE, если это возможно. Дело в том, что само задание немного сложнее, чем предыдущее. К тому же, мы получили презентации только 6 дней назад.",difficulty_problem,deadline,pl
"Мы хотели бы попросить Вас перенести дедлайн по домашней работе по CLASS.
К сожалению, многие из нас на данный момент не уверены в точной или даже приблизительной формулировке.
В связи с этим для нас будет очень проблематично сделать задание. Мы будем Вам очень благодарны, если вы войдете в наше положение и сдвинете дедлайн на неделю. В свою очередь, обещаем качественно сделать работу к обозначенному дедлайну.",difficulty_problem,deadline,pl
"При выполнении домашнего задания по CLASS наш поток столкнулся с некоторыми трудностями. Для многих задание оказалось сложным и объемным, и нам не хватает времени, чтобы действительно вникнуть в работу и вдумчиво выполнить задание. В связи с этим мы бы хотели попросить вас передвинуть дедлайн на несколько дней. Спасибо за понимание!",difficulty_problem,deadline,pl
"Есть ли возможность перенести дедлайн по практической работе на DATE? К сожалению, у многих возникли проблемы с выполнением некоторых пунктов и дополнительное время смогло бы помочь. Надеемся на понимание. ",difficulty_problem,deadline,pl
"У нас возникли трудности с выполнением задания по CLASS, в связи с чем мы бы хотели попросить Вас немного перенести дедлайн, хотя бы до воскресенья",difficulty_problem,deadline,pl
"Хочу обратиться к Вам с просьбой перенести дедлайн моего домашнего задания. Это связано с тем, что я должен уехать в другой город на некоторое время. Пожалуйста, поймите, что это не просто отгул или желание отдохнуть. Мне действительно нужно быть в другом месте по важным семейным обстоятельствам. Я постараюсь вернуться как можно скорее, но, к сожалению, не могу гарантировать точную дату своего возвращения.",family,deadline,sg
"Я вынужден попросить Вас о переносе срока сдачи моего домашнего задания, так как на это есть серьезные причины. Моя сестра выходит замуж в ближайшие выходные. Это очень важное событие для нашей семьи и я не могу не присутствовать на свадьбе.
Перенос крайнего срока на пару дней позволит мне успешно выполнить все свои обязанности перед отъездом и присутствовать на столь значимом событии в жизни моей семьи. Буду благодарен Вам за понимание.",family,deadline,sg
"Я пишу Вам с просьбой об отсрочке сдачи моей домашней работы. Причина моей просьбы заключается в том, что я выхожу замуж в ближайшее время. Это важное событие в моей жизни, и я хочу уделить ему все свое внимание. Кроме того, мне нужно будет сделать много приготовлений к свадьбе, что также займет много времени.
Учитывая вышеизложенное, я была бы благодарна, если бы вы могли предоставить мне отсрочку до DATE. Это позволит мне сосредоточиться на подготовке к свадьбе и все же выполнить домашнюю работу вовремя. Большое спасибо за Ваше понимание и помощь.",family,deadline,sg
"Извините за беспокойство, но мне нужно обратиться к Вам за помощью. У меня появилась срочная ситуация, из-за которой мне нужно перенести дедлайн моей домашней работы по Вашему предмету. Моя сестра недавно родила ребенка, и мне нужно быть рядом с ней и помогать ей. Это значит, что у меня не будет достаточно времени на выполнение домашней работы к установленному сроку. Могу ли я попросить вас перенести дедлайн на более поздний срок? Я бы очень оценил Вашу помощь в этой ситуации.",family,deadline,sg
"Сегодня я обращаюсь к Вам с важной просьбой. Из-за сильного дождя я не смогу вовремя приехать домой, чтобы выполнить свое домашнее задание. Я понимаю, что это может вызвать проблемы с соблюдением дедлайна, поэтому я прошу вас перенести его на более поздний срок.",weather,deadline,sg
"Возникла ситуация, которую я не могу предсказать: из-за сильного снегопада я не успею вовремя добраться до дома и выполнить свое домашнее задание. Снегопад - это обстоятельство, которое я не в силах контролировать, но обещаю приложить все усилия, чтобы успеть выполнить задание в установленный срок. Благодарю за понимание и помощь в этой ситуации.",weather,deadline,sg
"Мы, студенты группы SENDER, обращаемся к Вам с просьбой о переносе дедлайнов наших домашних заданий по причине сложных погодных условий. Из-за гололеда на дорогах многие студенты не могут вовремя добраться до своих домов и выполнить домашние задания.",weather,deadline,pl
"От лица всей нашей группы, обращаемся к Вам с важной просьбой. В связи с неблагоприятными погодными условиями, многие студенты нашей группы не успевают вовремя приехать домой для выполнения своих домашних заданий. Из-за сильного дождя на дорогах образовались пробки, что затрудняет передвижение и делает невозможным соблюдение установленных сроков. Понимаем, что данная ситуация может вызвать определенные неудобства, однако мы убедительно просим Вас пойти нам навстречу и перенести дедлайны на более поздний срок. Будем благодарны за понимание.",weather,deadline,pl
"К Вам обращается группа студентов с просьбой о переносе сроков сдачи домашних заданий. Дело в том, что из-за сильных снегопадов многие студенты не успевают вернуться домой и выполнить задания в срок. Мы понимаем, что это может привести к некоторым неудобствам, но просим вас войти в наше положение и помочь нам справиться с этой ситуацией. Мы обещаем, что сделаем все возможное, чтобы наверстать упущенное время и выполнить задания вовремя. Надеемся на Ваше понимание и поддержку в этом вопросе.",weather,deadline,pl
"Я пишу Вам, чтобы попросить о переносе срока сдачи моего домашнего задания. Причина в том, что сегодня я проснулась позже обычного из-за усталости. Я понимаю, что это непростительно, и мне очень жаль. Тем не менее, я обещаю, что выполню задание в кратчайшие сроки и отправлю его Вам. Если возможно, я прошу перенести дедлайн на завтра. Это даст мне возможность наверстать упущенное и сделать все как следует.",mental_health,deadline,sg
"Я хочу попросить вас о переносе дедлайна моего домашнего задания из-за того, что я случайно забыла о нем. Я знаю, что это моя ошибка и мне очень стыдно, но я обещаю, что сделаю все возможное, чтобы выполнить задание как можно быстрее. Прошу вас рассмотреть мою просьбу и, если возможно, перенести дедлайн на другой день. Я буду очень благодарна за Ваше понимание и помощь в данной ситуации.",mental_health,deadline,sg
"Я обращаюсь к Вам с просьбой о переносе дедлайна по моему домашнему заданию. Изначально я подумала про неправильный срок сдачи, и теперь не успеваю выполнить задание вовремя. Мне очень жаль, что так получилось. Я понимаю, что это полностью моя вина, и обещаю, что подобное больше не повторится.
Если возможно, я бы хотела попросить Вас перенести дедлайн на новую дату, чтобы я могла спокойно выполнить задание и сдать его вовремя.",mental_health,deadline,sg
"Хотели бы обратить Ваше внимание на проблему, связанную с освещением в нашей учебной аудитории. Оно недостаточно яркое, что негативно сказывается на зрении студентов и их способности сосредоточиться на учебном материале.
Предлагаем провести несколько занятий в режиме онлайн, чтобы студенты могли заниматься в более комфортной обстановке и с лучшим качеством освещения.",difficulty_problem,online,pl
"Нас беспокоит вопрос проведения занятий в аудитории. Дело в том, что стулья в нашей аудитории не очень удобные, и это вызывает дискомфорт у студентов. В связи с этим, я хотел бы предложить провести несколько занятий в онлайн-режиме. Это позволит студентам заниматься в более комфортных условиях и повысит эффективность обучения. Надеюсь на Ваше понимание",difficulty_problem,online,pl
"Хотели бы обратиться к Вам с просьбой перевести семинары по дисциплине CLASS в онлайн. Возможно ли так сделать? Преподаватель не возражает против нашей просьбы. Дело в том, что в силу специфики предмета показываемые преподавателем материалы крайне неудобно воспринимать на проекторе — их было бы проще смотреть в виде демонстрации экрана. К тому же не у всех ребят существует возможность пользоваться необходимыми средами разработки прямо на занятии, чтобы выполнять задания преподавателя (не у всех есть личные ноутбуки). ПК, находящиеся в компьютерном классе, не позволяют в полной мере выполнять задания, поскольку не на всех из них установлено необходимое ПО.",difficulty_problem,online,pl
"Мы пишем Вам, чтобы выразить свою озабоченность по поводу текущей ситуации с обучением и обратиться с просьбой о рассмотрении возможности проведения некоторых наших занятий в онлайн-формате. Как вы знаете, в последнее время мы столкнулись с серьезными трудностями из-за увеличения объема работы. В результате многие студенты, включая меня, испытывают трудности с проездом до института. Это не только отнимает у нас драгоценное время, но и приводит к усталости и потере концентрации на занятиях.",workload,online,pl
"В последнее время мы все столкнулись с серьезным увеличением рабочей нагрузки, и это привело к тому, что многим студентам, включая меня, стало трудно добираться до института. Поэтому я предлагаю Вам рассмотреть возможность перевода хотя бы части наших уроков в онлайн формат. Таким образом мы сможем сохранить высокое качество обучения, не рискуя при этом нашим здоровьем и благополучием.",workload,online,pl
"Как вы знаете, последние несколько дней в нашем городе идет сильный снегопад, и многим студентам стало тяжело добираться до института на общественном транспорте. Из-за этого многие студенты не могут посещать занятия, что может негативно сказаться на их успеваемости. Мы предлагаем Вам рассмотреть возможность переноса некоторых занятий в онлайн-формат, чтобы студенты могли продолжать учиться, не выходя из дома.",weather,online,pl
"Мы хотели бы обратиться к Вам с просьбой рассмотреть возможность перевода наших занятий в формат онлайн из-за плохой погоды. В последние несколько дней у нас были сильные дожди, и многие студенты испытывают трудности с поездкой в институт.",weather,online,pl
"В последнее время погода в городе оставляет желать лучшего, из-за чего многим студентам становится сложно добираться до института. К сожалению, это не только занимает много времени и сил, но и негативно сказывается на нашей способности концентрироваться и усваивать материал.
Учитывая вышеизложенное, мы предлагаем рассмотреть возможность проведения некоторых или всех занятий в онлайн формате.",weather,online,pl
"Подскажите, пожалуйста, можно ли пару DATE по дисциплине CLASS перенести онлайн? Дело в том, что две пары, которые идут у нас до Вашей дисциплины, будут онлайн.",other_online,online,pl
"Извините за столь позднее сообщение. Так получилось, что DATE все три пары после Ваших будут проходить онлайн. Есть ли возможность перенести CLASS также в онлайн? Это позволит ребятам подключиться к остальным парам не из транспорта, а из дома. ",other_online,online,pl